	SRA	newname
333	SRR6520694	smartseq_BladderTissue_bladder_cell_333
334	SRR6521941	smartseq_BladderTissue_bladder_cell_334
335	SRR6519628	smartseq_BladderTissue_bladder_cell_335
336		smartseq_BladderTissue_bladder_cell_336
337		smartseq_BladderTissue_bladder_cell_337
338	SRR6520696	smartseq_BladderTissue_bladder_cell_338
339	SRR6521963	smartseq_BladderTissue_bladder_urothelial_cell_339
340	SRR6521617	smartseq_BladderTissue_bladder_cell_340
341		smartseq_BladderTissue_bladder_cell_341
342		smartseq_BladderTissue_bladder_cell_342
343	SRR6520698	smartseq_BladderTissue_bladder_cell_343
344	SRR6521620	smartseq_BladderTissue_bladder_cell_344
345	SRR6519630	smartseq_BladderTissue_bladder_cell_345
346		smartseq_BladderTissue_bladder_cell_346
347		smartseq_BladderTissue_bladder_cell_347
348	SRR6520701	smartseq_BladderTissue_bladder_cell_348
349		smartseq_BladderTissue_bladder_cell_349
350		smartseq_BladderTissue_bladder_cell_350
351	SRR6520703	smartseq_BladderTissue_bladder_cell_351
352		smartseq_BladderTissue_bladder_cell_352
353		smartseq_BladderTissue_bladder_cell_353
354	SRR6519632	smartseq_BladderTissue_bladder_urothelial_cell_354
355		smartseq_BladderTissue_bladder_cell_355
356	SRR6520705	smartseq_BladderTissue_bladder_urothelial_cell_356
357	SRR6522074	smartseq_BladderTissue_bladder_cell_357
358	SRR6521655	smartseq_BladderTissue_bladder_cell_358
359		smartseq_BladderTissue_bladder_cell_359
360		smartseq_BladderTissue_bladder_cell_360
361	SRR6520735	smartseq_BladderTissue_bladder_cell_361
362	SRR6519600	smartseq_BladderTissue_bladder_urothelial_cell_362
363		smartseq_BladderTissue_bladder_cell_363
364		smartseq_BladderTissue_bladder_cell_364
365	SRR6520754	smartseq_BladderTissue_bladder_urothelial_cell_365
366	SRR6519623	smartseq_BladderTissue_bladder_urothelial_cell_366
367		smartseq_BladderTissue_bladder_cell_367
368		smartseq_BladderTissue_bladder_cell_368
369	SRR6520757	smartseq_BladderTissue_bladder_urothelial_cell_369
370	SRR6519645	smartseq_BladderTissue_bladder_urothelial_cell_370
371	SRR6519650	smartseq_BladderTissue_bladder_urothelial_cell_371
372		smartseq_BladderTissue_bladder_cell_372
373		smartseq_BladderTissue_bladder_cell_373
374	SRR6520759	smartseq_BladderTissue_bladder_urothelial_cell_374
375		smartseq_BladderTissue_bladder_cell_375
376		smartseq_BladderTissue_bladder_cell_376
377	SRR6520761	smartseq_BladderTissue_bladder_urothelial_cell_377
378		smartseq_BladderTissue_bladder_cell_378
379		smartseq_BladderTissue_bladder_urothelial_cell_379
380	SRR6520763	smartseq_BladderTissue_bladder_urothelial_cell_380
381	SRR6519667	smartseq_BladderTissue_bladder_cell_381
382		smartseq_BladderTissue_bladder_urothelial_cell_382
383		smartseq_BladderTissue_bladder_urothelial_cell_383
384	SRR6520765	smartseq_BladderTissue_bladder_urothelial_cell_384
385		smartseq_BladderTissue_bladder_urothelial_cell_385
386	SRR6520768	smartseq_BladderTissue_bladder_urothelial_cell_386
387		smartseq_BladderTissue_bladder_urothelial_cell_387
388		smartseq_BladderTissue_bladder_urothelial_cell_388
389	SRR6520770	smartseq_BladderTissue_bladder_urothelial_cell_389
390	SRR6521684	smartseq_BladderTissue_bladder_urothelial_cell_390
391		smartseq_BladderTissue_bladder_urothelial_cell_391
392		smartseq_BladderTissue_bladder_urothelial_cell_392
393	SRR6520772	smartseq_BladderTissue_bladder_urothelial_cell_393
394	SRR6521687	smartseq_BladderTissue_bladder_urothelial_cell_394
395		smartseq_BladderTissue_bladder_urothelial_cell_395
396		smartseq_BladderTissue_bladder_urothelial_cell_396
397	SRR6520774	smartseq_BladderTissue_bladder_urothelial_cell_397
398	SRR6522096	smartseq_BladderTissue_bladder_cell_398
399	SRR6521657	smartseq_BladderTissue_bladder_cell_399
400	SRR6519646	smartseq_BladderTissue_bladder_cell_400
401		smartseq_BladderTissue_bladder_cell_401
402		smartseq_BladderTissue_bladder_cell_402
403	SRR6520737	smartseq_BladderTissue_bladder_cell_403
404		smartseq_BladderTissue_bladder_urothelial_cell_404
405	SRR6520776	smartseq_BladderTissue_bladder_urothelial_cell_405
406		smartseq_BladderTissue_bladder_urothelial_cell_406
407		smartseq_BladderTissue_bladder_urothelial_cell_407
408	SRR6520779	smartseq_BladderTissue_bladder_urothelial_cell_408
409	SRR6521691	smartseq_BladderTissue_bladder_urothelial_cell_409
410		smartseq_BladderTissue_bladder_urothelial_cell_410
411		smartseq_BladderTissue_bladder_urothelial_cell_411
412	SRR6520781	smartseq_BladderTissue_bladder_urothelial_cell_412
413	SRR6521659	smartseq_BladderTissue_bladder_cell_413
414		smartseq_BladderTissue_bladder_cell_414
415		smartseq_BladderTissue_bladder_cell_415
416	SRR6520739	smartseq_BladderTissue_bladder_cell_416
417	SRR6519512	smartseq_BladderTissue_bladder_cell_417
418		smartseq_BladderTissue_bladder_cell_418
419		smartseq_BladderTissue_bladder_cell_419
420	SRR6520741	smartseq_BladderTissue_bladder_cell_420
421	SRR6519648	smartseq_BladderTissue_bladder_cell_421
422		smartseq_BladderTissue_bladder_cell_422
423		smartseq_BladderTissue_bladder_cell_423
424	SRR6520743	smartseq_BladderTissue_bladder_cell_424
425	SRR6519534	smartseq_BladderTissue_bladder_urothelial_cell_425
426		smartseq_BladderTissue_bladder_cell_426
427		smartseq_BladderTissue_bladder_cell_427
428	SRR6520746	smartseq_BladderTissue_bladder_cell_428
429		smartseq_BladderTissue_bladder_cell_429
430		smartseq_BladderTissue_bladder_cell_430
431	SRR6520748	smartseq_BladderTissue_bladder_cell_431
432	SRR6519556	smartseq_BladderTissue_bladder_urothelial_cell_432
433		smartseq_BladderTissue_bladder_cell_433
434		smartseq_BladderTissue_bladder_cell_434
435	SRR6520750	smartseq_BladderTissue_bladder_urothelial_cell_435
436	SRR6519578	smartseq_BladderTissue_bladder_urothelial_cell_436
437	SRR6521670	smartseq_BladderTissue_bladder_urothelial_cell_437
438		smartseq_BladderTissue_bladder_cell_438
439		smartseq_BladderTissue_bladder_cell_439
440	SRR6520752	smartseq_BladderTissue_bladder_urothelial_cell_440
